,Discount price,Original Price,Product Brand,Product Category Code,Product Name,Promo Tag,Rating,Raw Product,Review,Sales,Vendor
0,252.00,280,Melvita,AA16105500001,ORGANIC DAMASK ROSE FLORAL WATER 200ML,2-day group shipment,4.7,Melvita - ORGANIC DAMASK ROSE FLORAL WATER 200ML,10,200,Melvita - French Organic Beauty Care
1,24.50, 54.00,Shiseido 資生堂,AA16107510001,UNO Whip Men's Face Wash #Scrub 130g [Parallel Import] (4901872449682),2-day group shipment,4.75,Shiseido 資生堂 - UNO Whip Men's Face Wash #Scrub 130g [Parallel Import] (4901872449682),8,400,Royal Cosmetics
2,219.00, 310.00,L'Oreal Paris,AA16107520001,Men Expert Hydra Energetic MA8 Twin Packset*656899,2-day group shipment,5,L'Oreal Paris - Men Expert Hydra Energetic MA8 Twin Packset*656899,2,90,L’Oreal Paris HK Flagship Store
3,260.00, 430.00,KIEHLS,AA16107520001,Facial Fuel Energizing Moisturizer For Men 125ml,2-day group shipment,4.8,KIEHLS - Kiehl's - Facial Fuel Energizing Moisturizer For Men 125ml,5,200,KINGSWAY BEAUTY
4,24.50, 54.00,Shiseido 資生堂,AA16107510001,UNO Whip Men's Face Wash #Moist 130g [Parallel Import] (4901872449699),2-day group shipment,4.545454545454546,Shiseido 資生堂 - UNO Whip Men's Face Wash #Moist 130g [Parallel Import] (4901872449699),11,500,Royal Cosmetics
5,75.00, 133.00,Shiseido,AA16107520001,Shiseido UNO All in One Cream Perfection for Men 90g,2-day group shipment,4.85,Shiseido - Shiseido UNO All in One Cream Perfection for Men 90g,20,"1,000",NANA MALL
6,61.60, 95.00,UL.OS,AA16107510001,Face Wash,immediate shipment,5,UL.OS - Face Wash,6,200,DFair
7,234.00,260,Melvita,AA16102020401,AVOCADO OIL 50ML,2-day group shipment,5,Melvita - AVOCADO OIL 50ML,2,60,Melvita - French Organic Beauty Care
8,57.30,84.9,Mentholatum for Men,AA16107510001,OC Oil Control Face Wash ,immediate shipment,4.666666666666667,Mentholatum for Men - OC Oil Control Face Wash ,3,200,Mentholatum
9,77.00, 128.00,Shiseido,AA16107520001,Shiseido UNO Perfection UV Perfection Gel Cream 80g (Blue),2-day group shipment,4.235294117647059,Shiseido - Shiseido UNO Perfection UV Perfection Gel Cream 80g (Blue),17,600,NANA MALL
10,237.00, 470.00,Clarins,AA16107520001,Men Line-Control Eye Balm  -[Parallel Import Product],2-day group shipment,5,Clarins - Men Line-Control Eye Balm  -[Parallel Import Product],4,200,Beautique
11,49.00,129.9,Mentholatum for Men,AA16107530001,HY Water burst gel 50ml,immediate shipment,4.5,Mentholatum for Men - HY Water burst gel 50ml,2,70,HKTVmall Outlet
12,262.00, 470.00,Clarins,AA16107520001,Men Revitalizing Gel  -[Parallel Import Product],2-day group shipment,4.5,Clarins - Men Revitalizing Gel  -[Parallel Import Product],4,200,Beautique
13,103.20, 129.00,L'Oreal Paris,AA16107520001,Men Expert Hydra Power Lotion*271224,2-day group shipment,5,L'Oreal Paris - Men Expert Hydra Power Lotion*271224,1,80,L’Oreal Paris HK Flagship Store
14,216.00, 280.00,Atorrege AD+,AA16107510001,Medicated Face Wash Foam (1F) 150ml,2-day group shipment,5,Atorrege AD+ - Medicated Face Wash Foam (1F) 150ml,2,100,Yobeecity
15,59.00, 90.00,Shiseido,AA13201810101,UNO Whip Speedy Facial Cleanser 150ml,2-day group shipment,4.666666666666667,Shiseido - UNO Whip Speedy Facial Cleanser 150ml,6,200,Beauty Soulmates
16,198.00, 90.00,Biotherm,AA16107520001,AQUA POWER Dynamic Hydration Emulsion 75ml  (Parallel Import) *SALE*,2-day group shipment,,Biotherm - AQUA POWER Dynamic Hydration Emulsion 75ml  (Parallel Import) *SALE*,,100,NOBO Cosmetics & Skincare Outlet
17,88.90, 90.00,Mentholatum for Men,AA16107510001,OC Icy Oil Control Foaming Face Wash,immediate shipment,3,Mentholatum for Men - OC Icy Oil Control Foaming Face Wash,2,50,Mentholatum
18,436.00, 680.00,SK-II,AA16107510001,SK-II SKII SK2 Men's Revitalizing Moisturizing Cleansing Foam 120g [parallel import],2-day group shipment,,SK-II - SK-II SKII SK2 Men's Revitalizing Moisturizing Cleansing Foam 120g [parallel import],,30,KINGSWAY BEAUTY
19,162.00, 244.00,L'Oreal Paris,AA16107520001,Men Expert HE Foam + MA8 Reno 2018*657469,2-day group shipment,4.666666666666667,L'Oreal Paris - Men Expert HE Foam + MA8 Reno 2018*657469,3,80,L’Oreal Paris HK Flagship Store
20,339.00, 650.00,Clarins,AA16107520001,Men Line-Control Balm  -[Parallel Import Product],2-day group shipment,4.25,Clarins - Men Line-Control Balm  -[Parallel Import Product],4,100,Beautique
21,268.00, 320.00,Darphin,AA16107510001,CLEANSING AROMA BALM WITH ROSE WOOD 40ML (882381054441) -[Parallel Import Product],2-day group shipment,5,Darphin - CLEANSING AROMA BALM WITH ROSE WOOD 40ML (882381054441) -[Parallel Import Product],1,100,Ubuy
22,71.20, 89.00,L'Oreal Paris,AA16107510001,Men Expert Hydra Energetic Detoxifying Foam*002908,2-day group shipment,4,L'Oreal Paris - Men Expert Hydra Energetic Detoxifying Foam*002908,2,100,L’Oreal Paris HK Flagship Store
23,330.00, 633.00,Clarins,AA16107520001,Men Line-Control Cream (Dry Skin)  -[Parallel Import Product],2-day group shipment,5,Clarins - Men Line-Control Cream (Dry Skin)  -[Parallel Import Product],1,70,Beautique
24,187.00, 225.00,Innisfree,AA16107510001,男士森林清新護理套盒(黑) [平行進口],2-day group shipment,5,Innisfree - 男士森林清新護理套盒(黑) [平行進口],2,20,Pink Labo
25,225.00,250,Melvita,AA16101500001,INTENSE ROSE EXTRAORDINARY WATER 100ML,2-day group shipment,3,Melvita - INTENSE ROSE EXTRAORDINARY WATER 100ML,1,50,Melvita - French Organic Beauty Care
26,249.00, 335.00,LAB SERIES,AA16107520001,RESCUE WATER LOTION 200ML [Parallel Import Product],2-day group shipment,,LAB SERIES - RESCUE WATER LOTION 200ML [Parallel Import Product],,50,KINGSWAY BEAUTY
27,49.00,129.9,Mentholatum for Men,AA16107530001,OC cooling gel 50ml,immediate shipment,,Mentholatum for Men - OC cooling gel 50ml,,80,HKTVmall Outlet
28,42.00, 69.00,Shiseido ,AA16107510001,UNO Whip Speedy Cleanser (Refill) 130ml (Parallel Import),2-day group shipment,5,Shiseido  - UNO Whip Speedy Cleanser (Refill) 130ml (Parallel Import),1,50,Pretties HK
29,57.00, 128.00,Shiseido 資生堂,AA16107520001,UNO All-in-One Cream Perfection For Men 90g [Parallel Import] (4901872449705),2-day group shipment,5,Shiseido 資生堂 - UNO All-in-One Cream Perfection For Men 90g [Parallel Import] (4901872449705),1,50,Royal Cosmetics
30,50.00, 128.00,ISHIZAWA LAB,AA16107520001,Men with zero pore mask 10PCS/BAG(4992440036021),2-day group shipment,4.266666666666667,ISHIZAWA LAB - Men with zero pore mask 10PCS/BAG(4992440036021),15,600,Jadora 日本美妝護膚
31,385.00, 580.00,LAB SERIES,AA16107520001,AGE RESCUE+  Face Lotion 50ml [Parallel Import Product],2-day group shipment,4.333333333333333,LAB SERIES - AGE RESCUE+  Face Lotion 50ml [Parallel Import Product],3,100,KINGSWAY BEAUTY
32,234.00,260,Melvita,AA16102020101,ARGAN OIL 50ML,2-day group shipment,,Melvita - ARGAN OIL 50ML,,40,Melvita - French Organic Beauty Care
33,81.00, 158.00,L'oreal,AA16107520001,Men Expert Hydra Sensitive Moisturiser  -[Parallel Import Product],2-day group shipment,5,L'oreal - Men Expert Hydra Sensitive Moisturiser  -[Parallel Import Product],5,90,Beautique
34,154.80, 288.00,CURE,AA16100570001,Natural Aqua Gel (Newest Version) 250g,2-day group shipment,,CURE - Natural Aqua Gel (Newest Version) 250g,,70,Manna Emporium
35,49.00,129.9,Mentholatum for Men,AA16107530001,HY Skin replenisher 50ml,immediate shipment,,Mentholatum for Men - HY Skin replenisher 50ml,,60,HKTVmall Outlet
36,26.00, 52.00,Shiseido 資生堂,AA16107510001,Uno Whip Scrub (Blue) 130g (4901872449682),2-day group shipment,5,Shiseido 資生堂 - Uno Whip Scrub (Blue) 130g (4901872449682),1,70,The One Baby
37,355.00, 520.00,Biotherm,AA16107520001,Excell Bright Brigntening Peeling Moisturizer (Parallel Import),2-day group shipment,5,Biotherm - Excell Bright Brigntening Peeling Moisturizer (Parallel Import),1,,AYO Cosmetic
38,630.00, 900.00,LAB SERIES,AA16102010101,MAX LS POWER V LIFTING LOTION 50ML [Parallel Import Product],2-day group shipment,,LAB SERIES - MAX LS POWER V LIFTING LOTION 50ML [Parallel Import Product],,20,KINGSWAY BEAUTY
39,290.00, 483.00,CLINIQUE,AA16107520001,FOR MEN MAXIMUM HYDRATOR ACTIVATED WATER-GEL CONCENTRATE 48ML [Parallel Import],2-day group shipment,5,CLINIQUE - FOR MEN MAXIMUM HYDRATOR ACTIVATED WATER-GEL CONCENTRATE 48ML [Parallel Import],1,,The One Baby
40,27.50,41,Shiseido UNO,AA16107510001,Whip Wash Moist Men's Moisturizing Face Cleanser 130g（Green) (Parallel import)Japan,2-day group shipment,4.5,Shiseido UNO - Whip Wash Moist Men's Moisturizing Face Cleanser 130g（Green) (Parallel import)Japan,10,400,Hey iLady
41,258.00, 482.00,LAB SERIES,AA16107520001,Lab Series Rescue Water Lotion  -[Parallel Import Product],2-day group shipment,4.714285714285714,LAB SERIES - Lab Series Rescue Water Lotion  -[Parallel Import Product],7,600,Beautique
42,38.80, 128.00,Voodoo,AA16100510001,AMEZON Pore Refine Deep Cleansing Foam 100ml,2-day group shipment,5,Voodoo - AMEZON Pore Refine Deep Cleansing Foam 100ml,1,,Manna Emporium
43,261.00,290,Melvita,AA13200560001,UV SHIELD SPF35 30ML,2-day group shipment,,Melvita - UV SHIELD SPF35 30ML,,20,Melvita - French Organic Beauty Care
44,243.00,243,Melvita,AA16102020101,PERFUMED ARGAN OIL 50 ML,2-day group shipment,,Melvita - PERFUMED ARGAN OIL 50 ML,,20,Melvita - French Organic Beauty Care
45,69.00, 99.00,Cremo,AA13107520001,Cooling Shave Cream 177ml,2-day group shipment,5,Cremo - Cooling Shave Cream 177ml,1,,Global Brand 全球直送
46,63.20, 79.00,L'Oreal Paris,AA16107510001,Men Expert Pure & Matte VOLCANO RED FOAM*034466,2-day group shipment,4,L'Oreal Paris - Men Expert Pure & Matte VOLCANO RED FOAM*034466,2,100,L’Oreal Paris HK Flagship Store
47,196.00, 79.00,Biotherm,AA16107520001,Homme Total Recharge Eye Care 15ml   [Parallel Import] EXP2021.02,2-day group shipment,4.5,Biotherm - Homme Total Recharge Eye Care 15ml   [Parallel Import] EXP2021.02,2,40,Beauty U & ME
48,68.00, 112.00,Shiseido,AA13201830001,UNO Hyaluronic Acid Toner 200ml,2-day group shipment,5,Shiseido - UNO Hyaluronic Acid Toner 200ml,4,100,Beauty Soulmates
49,510.00, 818.00,Christian Dior,AA16107520001,Homme Dermo System Repairing Moisturizing Emulsion  -[Parallel Import Product],2-day group shipment,,Christian Dior - Homme Dermo System Repairing Moisturizing Emulsion  -[Parallel Import Product],,30,Beautique
50,214.00, 409.00,Clarins,AA16107520001,Men Anti-Fatigue Eye Serum  -[Parallel Import Product],2-day group shipment,5,Clarins - Men Anti-Fatigue Eye Serum  -[Parallel Import Product],1,100,Beautique
51,58.00, 98.00,Shiseido 資生堂,AA13103540001,UNO Skincare Tank For Men #Oil Control 160ml [Parallel Import] (4901872449729),2-day group shipment,5,Shiseido 資生堂 - UNO Skincare Tank For Men #Oil Control 160ml [Parallel Import] (4901872449729),1,100,Royal Cosmetics
52,239.00, 398.00,LAB SERIES,AA16107520001,Lab Series All In One Face Treatment (Tube)  -[Parallel Import Product],2-day group shipment,3.75,LAB SERIES - Lab Series All In One Face Treatment (Tube)  -[Parallel Import Product],4,300,Beautique
53,215.00, 335.00,AHC,AA16107510001,Homme Only For Man Skin Care Set 3 items,2-day group shipment,,AHC - Homme Only For Man Skin Care Set 3 items,,20,NANA MALL
54,748.00," 1,080.00",Sulwhasoo 雪花秀,AA16107520001,Men Inner Charging Serum Skin Reinforcing Emulsion Set [Parallel Import Product],2-day group shipment,5,Sulwhasoo 雪花秀 - Men Inner Charging Serum Skin Reinforcing Emulsion Set [Parallel Import Product],5,60,KINGSWAY BEAUTY
55,130.00, 186.00,Mario Badescu,AA16107530001,Peppermint Shaving Cream  -[Parallel Import Product],2-day group shipment,,Mario Badescu - Peppermint Shaving Cream  -[Parallel Import Product],,,Beautique
56,445.00, 649.00,Biotherm,AA16107520001,Aquapower Homme Set(Aquapower Freshing Cleanser 125ml + Aquapower Cooling Fresh Gel 75ml),2-day group shipment,,Biotherm - Aquapower Homme Set(Aquapower Freshing Cleanser 125ml + Aquapower Cooling Fresh Gel 75ml),,10,NANA MALL
57,63.20, 79.00,L'Oreal Paris,AA16107520001,MEX PM ICY CHARCOAL BLACK FOAM 100ML*025556,2-day group shipment,5,L'Oreal Paris - MEX PM ICY CHARCOAL BLACK FOAM 100ML*025556,1,90,L’Oreal Paris HK Flagship Store
58,"1,480.00"," 2,280.00",SK-II,AA16107520001,SK2 MEN FACIAL TREATMENT ESSENCE 230ml [Parallel Import Product],2-day group shipment,3,SK-II - SK2 MEN FACIAL TREATMENT ESSENCE 230ml [Parallel Import Product],1,20,KINGSWAY BEAUTY
59,350.00, 500.00,LAB SERIES,AA16107520001,MAX LS Skin Recharging Water Lotion 200ml [Parallel Import Product],2-day group shipment,,LAB SERIES - MAX LS Skin Recharging Water Lotion 200ml [Parallel Import Product],,20,KINGSWAY BEAUTY
60,250.00, 376.00,Shiseido,AA16107520001,Men Hydro Master Gel  -[Parallel Import Product],2-day group shipment,4.2,Shiseido - Men Hydro Master Gel  -[Parallel Import Product],5,200,Beautique
61,458.00, 665.00,LAB SERIES,AA16107520001,FUTURE RESCUE REPAIR SERUM 50ml [Parallel Import Product],2-day group shipment,,LAB SERIES - FUTURE RESCUE REPAIR SERUM 50ml [Parallel Import Product],,10,KINGSWAY BEAUTY
62,647.00," 1,125.00",Christian Dior,AA16107520001,Homme Dermo System Age Control Firming Care  -[Parallel Import Product],2-day group shipment,,Christian Dior - Homme Dermo System Age Control Firming Care  -[Parallel Import Product],,40,Beautique
63,228.00, 362.00,Fancl,AA16107520001,Hydrating 60ml,2-day group shipment,,Fancl - Men All in one Skin Conditioner II - Hydrating 60ml,,10,NANA MALL
64,223.00, 432.00,Biotherm,AA16107510001,Homme Facial Exfoliator  -[Parallel Import Product],2-day group shipment,,Biotherm - Homme Facial Exfoliator  -[Parallel Import Product],,100,Beautique
65,99.00, 158.00,L'Oreal Paris,AA16107510001,MEN EXPERT Black Foam & Scrub Packset*312764,2-day group shipment,5,L'Oreal Paris - MEN EXPERT Black Foam & Scrub Packset*312764,1,60,L’Oreal Paris HK Flagship Store
66,450.00,580,Melvita,AA16102010201,NECTAR BLANC SET,2-day group shipment,5,Melvita - NECTAR BLANC SET,1,,Melvita - French Organic Beauty Care
67,55.00,580,Naturalland,AA16107520001,Aloe Vera Gel (USA),2-day group shipment,4,Naturalland - Aloe Vera Gel (USA),1,20,Naturalland
68,129.90,580,Mentholatum for Men,AA16107520001,HY Aqua Fresh Lotion,immediate shipment,,Mentholatum for Men - HY Aqua Fresh Lotion,,60,Mentholatum
69,150.00,580,Amazhim,nan,Mild,2-day group shipment,,Amazhim - Rescue Male Hygiene Cleanser - Mild,,40,GREEN RECIPE
70,57.30,84.9,Mentholatum for Men,AA16107510001,OC Anti-Blackhead Clay Wash,immediate shipment,,Mentholatum for Men - OC Anti-Blackhead Clay Wash,,40,Mentholatum
71,360.00, 660.00,Biotherm,AA16107520001,Homme T-Pur Anti Oil &amp; Shine Ultra Absorbing &amp; Mattifying Moisturizer Gel  -[Parallel Import Product],2-day group shipment,,Biotherm - Homme T-Pur Anti Oil &amp; Shine Ultra Absorbing &amp; Mattifying Moisturizer Gel  -[Parallel Import Product],,40,Beautique
72,284.00, 417.00,Shiseido,AA16107520001,Men Moisturizing Emulsion  -[Parallel Import Product],2-day group shipment,4.5,Shiseido - Men Moisturizing Emulsion  -[Parallel Import Product],2,100,Beautique
73,268.00, 459.00,Biotherm,AA16107520001,Homme T-Pur Anti Oil &amp; Shine Ultra Absorbing &amp; Mattifying Moisturizer Gel  -[Parallel Import Product],2-day group shipment,5,Biotherm - Homme T-Pur Anti Oil &amp; Shine Ultra Absorbing &amp; Mattifying Moisturizer Gel  -[Parallel Import Product],2,100,Beautique
74,139.90, 459.00,Mentholatum for Men,AA16107520001,HY Skin Active Serum-in-cream,immediate shipment,,Mentholatum for Men - HY Skin Active Serum-in-cream,,80,Mentholatum
75,124.00, 155.00,L'Oreal Paris,AA16107520001,Men Expert Hydra Power Serum*271187,2-day group shipment,5,L'Oreal Paris - Men Expert Hydra Power Serum*271187,1,40,L’Oreal Paris HK Flagship Store
76,223.00, 415.00,Clarins,AA16107520001,Men Super Moisture Gel (New Packaging)  -[Parallel Import Product],2-day group shipment,,Clarins - Men Super Moisture Gel (New Packaging)  -[Parallel Import Product],,30,Beautique
77,63.20, 79.00,L'Oreal Paris,AA16107510001,Men Expert Pure & Matte Invisible Cleanser*071793,2-day group shipment,5,L'Oreal Paris - Men Expert Pure & Matte Invisible Cleanser*071793,2,40,L’Oreal Paris HK Flagship Store
78,70.00, 133.00,AXE,AA16107530001,AFTERSHAVE EXCITE 100ml (parallel import goods),2-day group shipment,1,AXE - AFTERSHAVE EXCITE 100ml (parallel import goods),1,20,SH SUPPLIES
79,124.00, 278.00,Sulwhasoo 雪花秀,AA16100510001,Gentle Cleansing Foam 200ml (8809559331021/8809685828570) (Random shipment of new and old packaging),2-day group shipment,5,Sulwhasoo 雪花秀 - Gentle Cleansing Foam 200ml (8809559331021/8809685828570) (Random shipment of new and old packaging),2,100,Wishh Beauty
80,241.00, 449.00,Kiehl's,AA16107520001,Facial Fuel Energizing Moisture Treatment For Men  -[Parallel Import Product],2-day group shipment,2.5,Kiehl's - Facial Fuel Energizing Moisture Treatment For Men  -[Parallel Import Product],2,100,Beautique
81,26.00, 55.00,Shiseido,AA16100510001,Scrub)(4901872449682),2-day group shipment,4.2,Shiseido - UNO Whip Wash Scrub Cleanser 130g (Blue - Scrub)(4901872449682),5,300,Jadora 日本美妝護膚
82,70.00, 133.00,AXE,AA16107530001,AFTERSHAVE AFRICA 100ml (parallel import goods),2-day group shipment,,AXE - AFTERSHAVE AFRICA 100ml (parallel import goods),,10,SH SUPPLIES
83,76.00, 169.00,L'oreal,AA16107520001,Men Expert Vita Lift 5 Daily Moisturiser  -[Parallel Import Product],2-day group shipment,5,L'oreal - Men Expert Vita Lift 5 Daily Moisturiser  -[Parallel Import Product],2,100,Beautique
