,Discount price,Original Price,Product Brand,Product Category Code,Product Name,Promo Tag,Rating,Raw Product,Review,Sales,Vendor,Discount,Price Range,Product Category,Revenue
0,252,280,Melvita,AA16105500001,ORGANIC DAMASK ROSE FLORAL WATER 200ML,2-day group shipment,4.7,Melvita - ORGANIC DAMASK ROSE FLORAL WATER 200ML,10.0,200.0,Melvita - French Organic Beauty Care,28,201-300,Others,50400.0
1,24,54,Shiseido 資生堂,AA16107510001,UNO Whip Men's Face Wash #Scrub 130g [Parallel Import] (4901872449682),2-day group shipment,4.8,Shiseido 資生堂 - UNO Whip Men's Face Wash #Scrub 130g [Parallel Import] (4901872449682),8.0,400.0,Royal Cosmetics,30,0-100,Cleanser,9600.0
2,219,310,L'Oreal Paris,AA16107520001,Men Expert Hydra Energetic MA8 Twin Packset*656899,2-day group shipment,5.0,L'Oreal Paris - Men Expert Hydra Energetic MA8 Twin Packset*656899,2.0,90.0,L’Oreal Paris HK Flagship Store,91,201-300,Moisturizer,19710.0
3,260,430,KIEHLS,AA16107520001,Facial Fuel Energizing Moisturizer For Men 125ml,2-day group shipment,4.8,KIEHLS - Kiehl's - Facial Fuel Energizing Moisturizer For Men 125ml,5.0,200.0,KINGSWAY BEAUTY,170,201-300,Moisturizer,52000.0
4,24,54,Shiseido 資生堂,AA16107510001,UNO Whip Men's Face Wash #Moist 130g [Parallel Import] (4901872449699),2-day group shipment,4.5,Shiseido 資生堂 - UNO Whip Men's Face Wash #Moist 130g [Parallel Import] (4901872449699),11.0,500.0,Royal Cosmetics,30,0-100,Cleanser,12000.0
5,75,133,Shiseido,AA16107520001,Shiseido UNO All in One Cream Perfection for Men 90g,2-day group shipment,4.8,Shiseido - Shiseido UNO All in One Cream Perfection for Men 90g,20.0,1000.0,NANA MALL,58,0-100,Moisturizer,75000.0
6,61,95,UL.OS,AA16107510001,Face Wash,immediate shipment,5.0,UL.OS - Face Wash,6.0,200.0,DFair,34,0-100,Cleanser,12200.0
7,234,260,Melvita,AA16102020401,AVOCADO OIL 50ML,2-day group shipment,5.0,Melvita - AVOCADO OIL 50ML,2.0,60.0,Melvita - French Organic Beauty Care,26,201-300,Others,14040.0
8,57,84,Mentholatum for Men,AA16107510001,OC Oil Control Face Wash ,immediate shipment,4.7,Mentholatum for Men - OC Oil Control Face Wash ,3.0,200.0,Mentholatum,27,0-100,Cleanser,11400.0
9,77,128,Shiseido,AA16107520001,Shiseido UNO Perfection UV Perfection Gel Cream 80g (Blue),2-day group shipment,4.2,Shiseido - Shiseido UNO Perfection UV Perfection Gel Cream 80g (Blue),17.0,600.0,NANA MALL,51,0-100,Moisturizer,46200.0
10,237,470,Clarins,AA16107520001,Men Line-Control Eye Balm  -[Parallel Import Product],2-day group shipment,5.0,Clarins - Men Line-Control Eye Balm  -[Parallel Import Product],4.0,200.0,Beautique,233,201-300,Moisturizer,47400.0
11,49,129,Mentholatum for Men,AA16107530001,HY Water burst gel 50ml,immediate shipment,4.5,Mentholatum for Men - HY Water burst gel 50ml,2.0,70.0,HKTVmall Outlet,80,0-100,After Shave Care,3430.0
12,262,470,Clarins,AA16107520001,Men Revitalizing Gel  -[Parallel Import Product],2-day group shipment,4.5,Clarins - Men Revitalizing Gel  -[Parallel Import Product],4.0,200.0,Beautique,208,201-300,Moisturizer,52400.0
13,103,129,L'Oreal Paris,AA16107520001,Men Expert Hydra Power Lotion*271224,2-day group shipment,5.0,L'Oreal Paris - Men Expert Hydra Power Lotion*271224,1.0,80.0,L’Oreal Paris HK Flagship Store,26,101-200,Moisturizer,8240.0
14,216,280,Atorrege AD+,AA16107510001,Medicated Face Wash Foam (1F) 150ml,2-day group shipment,5.0,Atorrege AD+ - Medicated Face Wash Foam (1F) 150ml,2.0,100.0,Yobeecity,64,201-300,Cleanser,21600.0
